ProductID,ProductName,Category,SubCategory,Brand,UnitOfMeasure,UnitPrice,CostPrice,SupplierID,LaunchDate,IsActive
PRD-00001,Danone Soft Drinks Value 897g,Beverages,Soft Drinks,Danone,Liter,41.89,31.87,SUP-037,2025-07-28,1
PRD-00002,Mazola Soft Drinks Value 511g,Beverages,Soft Drinks,Mazola,KG,51.3,36.73,SUP-041,2021-10-06,1
PRD-00003,Pringles Soft Drinks Natural 479g,Beverages,Soft Drinks,Pringles,Can,145.14,112.91,SUP-018,2022-05-29,1
PRD-00004,Staedtler Soft Drinks Gold 491g,Beverages,Soft Drinks,Staedtler,Pack,109.9,71.34,SUP-018,2019-06-03,1
PRD-00005,Pepsi Soft Drinks Organic 122g,Beverages,Soft Drinks,Pepsi,Each,53.13,36.22,SUP-040,2021-06-08,0
PRD-00006,Lusine Soft Drinks Family 878g,Beverages,Soft Drinks,Lusine,Liter,122.68,84.29,SUP-021,2022-03-01,0
PRD-00007,Unilever Soft Drinks Value 286g,Beverages,Soft Drinks,Unilever,Pack,61.07,45.58,SUP-016,2018-02-25,1
PRD-00008,Anker Soft Drinks Family 345g,Beverages,Soft Drinks,Anker,Gram,147.17,107.24,SUP-038,2019-05-02,1
PRD-00009,Pepsi Soft Drinks Small 153g,Beverages,Soft Drinks,Pepsi,KG,59.26,41.46,SUP-038,2020-03-11,1
PRD-00010,Colgate Soft Drinks Natural 936g,Beverages,Soft Drinks,Colgate,Pack,134.85,83.5,SUP-021,2021-06-19,1
PRD-00011,Hyper Panda Soft Drinks Value 680g,Beverages,Soft Drinks,Hyper Panda,Liter,121.92,73.23,SUP-050,2023-02-19,1
PRD-00012,KDD Soft Drinks Premium 130g,Beverages,Soft Drinks,KDD,Pack,144.25,95.78,SUP-034,2021-12-30,1
PRD-00013,Aquafina Soft Drinks Classic 477g,Beverages,Soft Drinks,Aquafina,Can,139.96,79.95,SUP-036,2021-02-24,1
PRD-00014,Dasani Soft Drinks Small 856g,Beverages,Soft Drinks,Dasani,Box,33.34,21.66,SUP-033,2023-03-02,1
PRD-00015,Cadbury Soft Drinks Value 149g,Beverages,Soft Drinks,Cadbury,Pack,127.01,84.38,SUP-042,2019-11-02,1
PRD-00016,Carrefour Soft Drinks Organic 996g,Beverages,Soft Drinks,Carrefour,Box,80.53,48.41,SUP-029,2023-03-11,1
PRD-00017,Al Ain Soft Drinks Natural 798g,Beverages,Soft Drinks,Al Ain,Gram,87.65,56.41,SUP-013,2023-04-02,1
PRD-00018,Al Foah Soft Drinks Premium 761g,Beverages,Soft Drinks,Al Foah,Each,43.6,33.26,SUP-041,2022-01-02,1
PRD-00019,Huggies Soft Drinks Gold 164g,Beverages,Soft Drinks,Huggies,Each,67.3,51.37,SUP-024,2021-08-26,0
PRD-00020,Al Safi Juices Family 595g,Beverages,Juices,Al Safi,Box,6.23,4.47,SUP-005,2021-06-20,1
PRD-00021,Oreo Juices Large 222g,Beverages,Juices,Oreo,Liter,70.81,39.38,SUP-020,2020-07-17,0
PRD-00022,Carrefour Juices Large 881g,Beverages,Juices,Carrefour,Liter,119.28,80.12,SUP-041,2018-12-22,1
PRD-00023,Dasani Juices Large 224g,Beverages,Juices,Dasani,Bottle,136.49,86.94,SUP-023,2021-12-08,1
PRD-00024,Al Osra Juices Family 838g,Beverages,Juices,Al Osra,Each,116.9,80.45,SUP-012,2024-06-15,1
PRD-00025,Colgate Juices Family 836g,Beverages,Juices,Colgate,Gram,38.8,29.96,SUP-023,2025-05-24,1
PRD-00026,Faber-Castell Juices Family 254g,Beverages,Juices,Faber-Castell,Can,37.11,22.35,SUP-040,2020-02-18,0
PRD-00027,Local Farm Juices Premium 394g,Beverages,Juices,Local Farm,Gram,92.17,68.77,SUP-045,2020-06-28,1
PRD-00028,Monster Juices Natural 537g,Beverages,Juices,Monster,Pack,21.56,14.37,SUP-003,2023-04-08,1
PRD-00029,Faber-Castell Water Value 146g,Beverages,Water,Faber-Castell,Box,9.72,6.22,SUP-032,2019-05-10,0
PRD-00030,Pampers Water Large 490g,Beverages,Water,Pampers,Each,25.86,14.81,SUP-032,2019-05-26,1
PRD-00031,P&G Water Gold 327g,Beverages,Water,P&G,Box,17.22,12.27,SUP-032,2025-06-21,1
PRD-00032,Staedtler Water Small 646g,Beverages,Water,Staedtler,KG,106.85,77.92,SUP-031,2020-03-31,1
PRD-00033,Kellogg's Water Family 248g,Beverages,Water,Kellogg's,Bottle,113.68,88.14,SUP-014,2019-09-18,1
PRD-00034,3M Water Gold 117g,Beverages,Water,3M,Pack,26.3,19.03,SUP-019,2020-11-05,1
PRD-00035,Doritos Water 257g,Beverages,Water,Doritos,Box,85.13,50.32,SUP-023,2022-07-17,1
PRD-00036,Unilever Water 445g,Beverages,Water,Unilever,Bottle,29.5,18.75,SUP-004,2022-05-15,1
PRD-00037,Samsung Water Value 985g,Beverages,Water,Samsung,Bottle,134.82,76.22,SUP-042,2019-04-15,0
PRD-00038,Nadec Water Value 382g,Beverages,Water,Nadec,Pack,42.55,31.5,SUP-001,2023-06-12,1
PRD-00039,Apple Coffee & Tea Small 890g,Beverages,Coffee & Tea,Apple,Pack,84.94,59.48,SUP-021,2019-09-01,1
PRD-00040,Logitech Coffee & Tea Large 893g,Beverages,Coffee & Tea,Logitech,Liter,99.85,58.93,SUP-043,2018-08-23,0
PRD-00041,Colgate Coffee & Tea Natural 334g,Beverages,Coffee & Tea,Colgate,Can,44.81,31.42,SUP-025,2018-09-17,1
PRD-00042,Danone Coffee & Tea Value 146g,Beverages,Coffee & Tea,Danone,Gram,43.34,27.01,SUP-037,2018-10-25,1
PRD-00043,Staedtler Coffee & Tea Classic 477g,Beverages,Coffee & Tea,Staedtler,Pack,94.87,61.52,SUP-047,2021-01-01,1
PRD-00044,Al Karamah Coffee & Tea Organic 437g,Beverages,Coffee & Tea,Al Karamah,Liter,86.02,52.68,SUP-037,2025-07-09,1
PRD-00045,Al Watania Coffee & Tea 316g,Beverages,Coffee & Tea,Al Watania,Gram,108.83,71.14,SUP-032,2022-01-05,1
PRD-00046,Nadec Coffee & Tea Premium 930g,Beverages,Coffee & Tea,Nadec,Box,72.88,40.39,SUP-011,2022-11-16,1
PRD-00047,Al Muhaidib Coffee & Tea 987g,Beverages,Coffee & Tea,Al Muhaidib,Can,4.7,2.69,SUP-047,2025-06-03,1
PRD-00048,Aquafina Coffee & Tea Large 685g,Beverages,Coffee & Tea,Aquafina,Bottle,47.85,34.59,SUP-028,2024-12-15,1
PRD-00049,Quaker Coffee & Tea Value 515g,Beverages,Coffee & Tea,Quaker,Each,80.97,55.08,SUP-034,2023-04-28,1
PRD-00050,Al Karamah Coffee & Tea Value 595g,Beverages,Coffee & Tea,Al Karamah,Bottle,26.83,15.25,SUP-039,2020-01-30,1
PRD-00051,Kellogg's Coffee & Tea Premium 571g,Beverages,Coffee & Tea,Kellogg's,Gram,98.68,70.06,SUP-034,2023-12-31,0
PRD-00052,Al Ghurair Coffee & Tea Natural 460g,Beverages,Coffee & Tea,Al Ghurair,Bottle,98.19,72.99,SUP-014,2025-01-28,0
PRD-00053,Pilot Coffee & Tea Small 307g,Beverages,Coffee & Tea,Pilot,Pack,137.59,94.74,SUP-041,2022-04-15,1
PRD-00054,Coca Cola Energy Drinks Gold 788g,Beverages,Energy Drinks,Coca Cola,Gram,7.05,4.17,SUP-008,2019-08-16,1
PRD-00055,Dasani Energy Drinks Classic 460g,Beverages,Energy Drinks,Dasani,Each,20.36,14.83,SUP-032,2022-03-29,1
PRD-00056,Kit Kat Energy Drinks Value 918g,Beverages,Energy Drinks,Kit Kat,KG,85.55,56.5,SUP-046,2018-07-24,1
PRD-00057,Al Ain Energy Drinks Gold 575g,Beverages,Energy Drinks,Al Ain,Liter,64.58,40.07,SUP-035,2025-06-18,1
PRD-00058,Mazola Energy Drinks 558g,Beverages,Energy Drinks,Mazola,Can,61.63,46.98,SUP-006,2022-09-16,1
PRD-00059,Unilever Energy Drinks Natural 807g,Beverages,Energy Drinks,Unilever,Each,133.85,81.53,SUP-022,2018-05-16,1
PRD-00060,Johnson & Johnson Energy Drinks Organic 815g,Beverages,Energy Drinks,Johnson & Johnson,Bottle,38.53,25.36,SUP-003,2024-08-08,1
PRD-00061,Cadbury Energy Drinks 290g,Beverages,Energy Drinks,Cadbury,Can,85.84,55.93,SUP-008,2025-02-13,0
PRD-00062,Binzagr Energy Drinks 812g,Beverages,Energy Drinks,Binzagr,Liter,55.32,33.26,SUP-014,2018-07-22,1
PRD-00063,Tyson Energy Drinks Premium 283g,Beverages,Energy Drinks,Tyson,Gram,71.23,44.91,SUP-011,2023-12-07,1
PRD-00064,Quaker Energy Drinks Large 536g,Beverages,Energy Drinks,Quaker,KG,63.5,38.35,SUP-006,2021-07-10,0
PRD-00065,Kit Kat Energy Drinks 970g,Beverages,Energy Drinks,Kit Kat,Gram,137.63,95.06,SUP-023,2021-02-27,1
PRD-00066,Al Muhaidib Energy Drinks Small 438g,Beverages,Energy Drinks,Al Muhaidib,KG,66.61,50.04,SUP-019,2020-06-25,1
PRD-00067,Hyper Panda Energy Drinks Classic 910g,Beverages,Energy Drinks,Hyper Panda,KG,40.47,27.95,SUP-026,2024-05-21,0
PRD-00068,Tyson Energy Drinks 348g,Beverages,Energy Drinks,Tyson,KG,38.58,23.67,SUP-029,2021-03-13,1
PRD-00069,Al Watania Energy Drinks Natural 370g,Beverages,Energy Drinks,Al Watania,Each,132.44,88.86,SUP-044,2025-05-16,0
PRD-00070,Dasani Energy Drinks Premium 707g,Beverages,Energy Drinks,Dasani,Gram,24.05,16,SUP-009,2024-10-15,1
PRD-00071,Al Watania Milk Gold 757g,Dairy & Eggs,Milk,Al Watania,KG,101.18,57.97,SUP-011,2019-03-01,1
PRD-00072,Pilot Milk Value 232g,Dairy & Eggs,Milk,Pilot,Each,114.64,81.28,SUP-008,2023-05-15,1
PRD-00073,Al Ghurair Milk Gold 456g,Dairy & Eggs,Milk,Al Ghurair,Bottle,50.71,31.24,SUP-046,2022-08-18,1
PRD-00074,Lay's Milk 235g,Dairy & Eggs,Milk,Lay's,Box,72.21,40.33,SUP-001,2018-06-25,1
PRD-00075,Cadbury Milk Small 490g,Dairy & Eggs,Milk,Cadbury,Pack,86.09,50.29,SUP-040,2020-07-04,0
PRD-00076,Nadec Milk Family 854g,Dairy & Eggs,Milk,Nadec,Gram,123.89,71.18,SUP-050,2019-04-16,1
PRD-00077,Danone Milk Organic 979g,Dairy & Eggs,Milk,Danone,Liter,129.91,97.28,SUP-034,2024-09-02,1
PRD-00078,Coca Cola Milk Organic 743g,Dairy & Eggs,Milk,Coca Cola,Can,51.29,39.58,SUP-036,2022-10-29,1
PRD-00079,Staedtler Milk Large 170g,Dairy & Eggs,Milk,Staedtler,KG,87.12,62.06,SUP-036,2021-05-07,1
